Q06124,O60674,Q99062
P29353,Q07889,P07333
Q06124,O60674,P51692
Q09028,Q01484,P06748
P56545,Q09472,Q01196
P29353,P08581,Q13191
Q00839,Q12906,Q01484
Q15696,Q01130,Q01081
P10721,P11274,P07332
Q15459,Q15696,Q01081
Q9BQE3,P04637,P21333
Q00839,Q9BQE3,P06748
Q09028,P04637,Q01484
Q6Y7W6,Q13009,Q96QZ7
P29353,Q9BQE3,P22681
P46531,Q99081,Q09472
Q01484,P21333,P06748
Q06124,P35568,P22681
P08581,P22681,Q13191
P51451,Q13191,P10721
P29353,P11274,P00519
Q00839,P04637,P42771
P29353,P00519,Q13191
Q9BQE3,P21333,Q01484
Q8WZ42,P21333,P06748
P04637,Q01484,P06748
P51451,P00519,Q13191
P51451,Q13315,P00519
Q01484,P04637,Q14151
Q06124,P29353,P22681
P48643,P00519,P04637
O43524,P04637,Q09472
Q09028,Q8IWS0,P06748
P49715,P23769,Q09472
P29353,P11274,Q07889
P51692,P22681,P10721
Q00839,Q9BQE3,P05141
O60674,P11274,P10721
Q06124,Q13191,P10721
Q06124,P29353,Q99062
P51451,P11274,P07332
O75533,Q15696,Q01081
O60674,P11274,P00519
P04637,P05141,Q01484
Q9BQE3,P21333,P06748
Q06124,P22681,Q13191
Q06124,P08581,Q07889
P29353,P35568,P22681
O60307,P21359,Q96QZ7
P01112,Q07889,P22681
Q13009,O60307,Q96QZ7
Q00839,Q9P275,P06748
P01112,P21359,Q07889
P35568,P11274,P07332
P08581,P51451,P22681
Q00839,Q09472,P04637
P56545,Q09472,P42771
Q9BQE3,Q9NR09,P04637
P29353,P35568,Q13191
Q13009,P21359,Q96QZ7
P04637,P21333,P06748
Q06124,P29353,P51692
P42771,P04637,P06748
P11274,P22681,P00519
Q99814,Q09472,P04637
Q9BQE3,P05141,P04637
P46939,P04637,P06748
Q06124,P11274,P22681
P11274,P22681,P10721
Q06124,P29353,Q07889
Q9BQE3,P46939,P04637
Q00839,Q9BQE3,Q8IWS0
P22681,P07333,Q07889
Q13315,O43524,Q9BXW9
Q09472,Q12906,P00519
P35568,P22681,Q13191
P51668,Q09472,P04637
P51451,P10721,P07332
Q00839,P05141,P06748
O75533,Q15910,Q12906
Q99814,P04637,P06748
Q9BQE3,Q01484,P06748
Q05209,O60674,P10721
P51668,P46939,P04637
Q00839,P04637,P06748
Q00839,Q8IWS0,P06748
Q9BQE3,Q8IWS0,P06748
O75533,Q15459,Q15696
Q6Y7W6,Q13009,O60307
Q9BQE3,P42771,P06748
O60674,P00519,P10721
P29353,P11274,P22681
P29353,P51692,P10721
Q00839,Q01484,P27797
Q06124,P29353,P11274
P22681,Q13191,P10721
Q13009,Q6Y7W6,P21359
Q6Y7W6,O60307,Q96QZ7
P29353,P35568,O60674
Q9BQE3,P04637,P42771
Q00839,P05141,P04637
Q05209,P00519,P10721
Q6Y7W6,P21359,Q96QZ7
Q00839,P05141,Q01484
P29353,Q05209,P08581
P46531,Q8IZL2,Q09472
P11274,Q07889,P00519
P29353,P35568,P11274
Q9BQE3,P05141,Q01484
Q06124,P29353,O60674
P29353,Q06124,Q13191
P29353,P08581,Q07889
Q06124,Q07889,P22681
P29353,O60674,P11274
Q06124,P08581,Q13191
P29353,O60674,P51692
P35568,P11274,P22681
P51668,O00507,P01116
P29353,O60674,Q99062
Q09028,P04637,O94776
Q06124,P11274,P10721
Q06124,P08581,P22681
P35568,O60674,P11274
P26358,P04637,O94776
Q00839,Q09472,Q12906
Q9BQE3,P48643,P04637
Q00839,Q9BQE3,Q01484
P51451,P11274,P00519
P29353,P22681,P07333
P29353,Q9BQE3,P06748
Q09028,P04637,P06748
O75533,Q15459,Q01081
Q06124,P29353,P10721
Q00839,Q01484,P06748
Q06124,P36888,Q13191
P04637,P21333,Q01484
Q00839,Q09472,P42771
P51451,P11274,P22681
P51451,P08581,Q13191
Q00839,Q09472,P06748
Q00839,Q9BQE3,P42771
P29353,P35568,P06748
Q13009,O60307,P21359
Q06124,P35568,P29353
Q99081,Q09472,Q01196
Q00839,Q9BQE3,P04637
P08581,P22681,Q07889
P22681,Q13191,P00519
P00519,P22681,P10721
P29353,Q07889,P00519
Q09028,P26358,O94776
P08581,P51451,P07332
P29353,O60674,P10721
P05141,Q01484,P06748
P49715,Q09472,Q01196
P29353,P00519,P10721
Q06124,P22681,P10721
P22681,Q07889,P00519
P51451,P22681,P10721
P29353,Q06124,P08581
P29353,O60674,P00519
Q09472,P04637,P00519
P29353,P08581,P22681
P29353,P22681,Q13191
Q00839,P04637,Q01484
P00519,Q13191,P10721
Q9BQE3,P04637,Q01484
P05141,P04637,P06748
Q15459,Q01081,Q00839
Q06124,P29353,P40238
Q9Y6K1,P26358,Q15910
P46531,Q99081,Q01196
Q06124,Q00839,P29353
Q06124,O60674,P10721
P29353,Q05209,P00519
P29353,Q00839,Q9BQE3
Q06124,P35568,Q13191
P36888,P22681,Q13191
P29353,P22681,P10721
Q09028,P26358,Q15910
P29353,Q05209,P10721
Q9BQE3,P05141,P06748
Q99814,Q09472,P06748
P29353,P51692,P22681
Q6Y7W6,O60307,P21359
P29353,P11274,P10721
P51451,P22681,Q13191
Q09472,P04637,P42771
Q9BQE3,P04637,P06748
P51451,P11274,P10721
O60674,P51692,P10721
P04637,P00519,P21333
P11274,P04637,P19447
Q00839,P42771,P06748
O60674,P11274,P07332
P29353,Q07889,P22681
Q09028,P26358,P04637
Q06124,O60674,P11274
Q09472,P04637,P06748
Q06124,O60674,P40238
Q13315,O43524,P04637
P42771,Q09472,P06748
Q06124,P11274,Q07889
P29353,Q05209,O60674
Q06124,P35568,P11274
P11274,Q07889,P22681
P52948,Q09472,P06748
Q06124,P51692,P10721
P29353,O60674,P40238
Q06124,P36888,P22681
O60674,P10721,P07332
P11274,P00519,P10721
P29353,Q13191,P10721
Q06124,P51692,P22681
P08581,P23467,P22681
P51451,P00519,P10721
Q9BQE3,P46939,P06748
Q13315,P00519,P04637
P29353,P22681,P00519
P46531,Q09472,Q01196
P51668,Q9NR09,P04637
P11274,P00519,P04637
Q05209,O60674,P00519
P35568,O60674,P07332
P51451,P00519,P22681
Q06124,P35568,O60674
P29353,Q00839,P06748
Q13009,P01112,P21359
